"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: tpchInstance"
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery","sample",1,254,397.536216,2.743964,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.00","sample",1,1,381.157376,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.50","sample",1,1,401.342464,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.90","sample",1,1,411.041792,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.95","sample",1,1,413.663232,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.99","sample",1,1,442.525286,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.999","sample",1,1,454.557696,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p0.9999","sample",1,1,454.557696,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery:executeQuery·p1.00","sample",1,1,454.557696,NaN,"ms/op",/nvtmp/AethraTestData/tpch/sf-1
"benchmarks.tpch.q1_no_sort_hard_coded.NonVectorisedNonSimdSparkified.executeQuery","sample",1,30,3807.449361,33.463223,"ms/op",/nvtmp/AethraTestData/tpch/sf-10
